NM_MICRO
Baía da Ilha Grande
Santo Antônio de Pádua
Lagos
Três Rios
Lagos
Lagos
Barra do Piraí
Vale do Paraíba Fluminense
Rio de Janeiro
Nova Friburgo
Itaperuna
Lagos
Macacu-Caceribu
Santo Antônio de Pádua
Macaé
Três Rios
Campos dos Goytacazes
Cantagalo-Cordeiro
Campos dos Goytacazes
Cantagalo-Cordeiro
Bacia de São João
Macaé
Cantagalo-Cordeiro
Nova Friburgo
Rio de Janeiro
Vassouras
Rio de Janeiro
Lagos
Rio de Janeiro
Itaguaí
Itaperuna
Santo Antônio de Pádua
Itaperuna
Vale do Paraíba Fluminense
Rio de Janeiro
Itaperuna
Macaé
Cantagalo-Cordeiro
Rio de Janeiro
Itaguaí
Rio de Janeiro
Vassouras
Rio de Janeiro
Vassouras
Santo Antônio de Pádua
Itaperuna
Rio de Janeiro
Rio de Janeiro
Nova Friburgo
Rio de Janeiro
Vassouras
Três Rios
Baía da Ilha Grande
Vassouras
Serrana
Vale do Paraíba Fluminense
Vale do Paraíba Fluminense
Itaperuna
Vale do Paraíba Fluminense
Vale do Paraíba Fluminense
Rio de Janeiro
Macaé
Vale do Paraíba Fluminense
Macacu-Caceribu
Vale do Paraíba Fluminense
Barra do Piraí
Bacia de São João
Rio de Janeiro
Santa Maria Madalena
Santo Antônio de Pádua
Campos dos Goytacazes
Campos dos Goytacazes
Rio de Janeiro
Campos dos Goytacazes
Rio de Janeiro
Santo Antônio de Pádua
Serrana
Lagos
Santa Maria Madalena
Três Rios
Lagos
Itaguaí
Bacia de São João
Nova Friburgo
Rio de Janeiro
Serrana
Santa Maria Madalena
Três Rios
Barra do Piraí
Itaperuna
Vassouras
Vale do Paraíba Fluminense
